,Date_year,open,high_value,low,close,adjclose,total_volume,ticker
268,11/14/2022,10.06999969,10.06999969,10.06999969,10.06999969,10.06999969,0,XFINU
269,11/15/2022,10.06999969,10.06999969,10.06999969,10.06999969,10.06999969,0,XFINU
270,11/16/2022,10.06999969,10.06999969,10.06999969,10.06999969,10.06999969,0,XFINU
271,11/17/2022,10.06000042,10.06000042,10.06000042,10.06000042,10.06000042,278,XFINU
272,11/18/2022,10.03999996,10.03999996,10.03999996,10.03999996,10.03999996,100,XFINU
273,11/21/2022,10.02000046,10.02000046,10.02000046,10.02000046,10.02000046,100,XFINU
274,11/22/2022,10.11999989,10.11999989,10.10000038,10.11999989,10.11999989,700,XFINU
275,11/23/2022,10.11999989,10.11999989,10.11999989,10.11999989,10.11999989,0,XFINU
276,11/25/2022,10.11999989,10.11999989,10.11999989,10.11999989,10.11999989,0,XFINU
277,11/28/2022,10.11999989,10.13000011,10.10000038,10.10999966,10.10999966,2100,XFINU
278,11/29/2022,10.10999966,10.10999966,10.10999966,10.10999966,10.10999966,0,XFINU
279,11/30/2022,10.10999966,10.10999966,10.10999966,10.10999966,10.10999966,0,XFINU
280,12/1/2022,10.10999966,10.10999966,10.10999966,10.10999966,10.10999966,0,XFINU
281,12/2/2022,10.10000038,10.10000038,10.10000038,10.10000038,10.10000038,267,XFINU
282,12/5/2022,10.10000038,10.10000038,10.10000038,10.10000038,10.10000038,0,XFINU
283,12/6/2022,10.10000038,10.10000038,10.10000038,10.10000038,10.10000038,0,XFINU
284,12/7/2022,10.10000038,10.10000038,10.10000038,10.10000038,10.10000038,0,XFINU
285,12/8/2022,10.10000038,10.10999966,10.07999992,10.10999966,10.10999966,970,XFINU
286,12/9/2022,10.10999966,10.10999966,10.10999966,10.10999966,10.10999966,0,XFINU
287,12/12/2022,10.10999966,10.10999966,10.10999966,10.10999966,10.10999966,0,XFINU
288,12/13/2022,10.10999966,10.10999966,10.10999966,10.10999966,10.10999966,0,XFINU
289,12/14/2022,10.10999966,10.10999966,10.10999966,10.10999966,10.10999966,0,XFINU
290,12/15/2022,10.10999966,10.10999966,10.10999966,10.10999966,10.10999966,0,XFINU
291,12/16/2022,10.02999973,10.02999973,10.02999973,10.02999973,10.02999973,100,XFINU
292,12/19/2022,10.10499954,10.10499954,10.10499954,10.10499954,10.10499954,200,XFINU
293,12/20/2022,10.10499954,10.10499954,10.10499954,10.10499954,10.10499954,0,XFINU
294,12/21/2022,10.10499954,10.10499954,10.10499954,10.10499954,10.10499954,0,XFINU
295,12/22/2022,10.10499954,10.10499954,10.10499954,10.10499954,10.10499954,0,XFINU
296,12/23/2022,10.10499954,10.10499954,10.10499954,10.10499954,10.10499954,0,XFINU
297,12/27/2022,10.10499954,10.10499954,10.10499954,10.10499954,10.10499954,0,XFINU
298,12/28/2022,10.19999981,10.19999981,10.19999981,10.19999981,10.19999981,100,XFINU
299,12/29/2022,10.19999981,10.19999981,10.19999981,10.19999981,10.19999981,100,XFINU
300,12/30/2022,10.19999981,10.19999981,10.19999981,10.19999981,10.19999981,100,XFINU
301,1/3/2023,10.19999981,10.19999981,10.19999981,10.19999981,10.19999981,100,XFINU
302,1/4/2023,10.19999981,10.19999981,10.19999981,10.19999981,10.19999981,0,XFINU
303,1/5/2023,10.19999981,10.19999981,10.19999981,10.19999981,10.19999981,0,XFINU
304,1/6/2023,10.19999981,10.19999981,10.19999981,10.19999981,10.19999981,0,XFINU
305,1/9/2023,10.22000027,10.22000027,10.22000027,10.22000027,10.22000027,100,XFINU
306,1/10/2023,10.22000027,10.22000027,10.22000027,10.22000027,10.22000027,0,XFINU
307,1/11/2023,10.22000027,10.22000027,10.22000027,10.22000027,10.22000027,100,XFINU
